timestamp_utc,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,WS10M,WD10M,PS,SZA,KT
2013-08-01 00:00:00,0.0,0.0,10.68,91.51,1.38,1.46,143.9,75.33,90.0,0.0
2013-08-01 01:00:00,0.0,0.0,10.29,94.93,0.81,1.68,139.1,75.37,90.0,0.0
2013-08-01 02:00:00,0.0,0.0,9.92,96.26,1.15,1.63,138.0,75.39,90.0,0.0
2013-08-01 03:00:00,0.0,0.0,9.53,96.59,0.51,1.67,141.1,75.38,90.0,0.0
2013-08-01 04:00:00,0.0,0.0,9.13,96.17,0.47,1.83,143.4,75.34,90.0,0.0
2013-08-01 05:00:00,0.0,0.0,8.89,95.16,0.39,1.68,141.8,75.29,90.0,0.0
2013-08-01 06:00:00,0.0,0.0,8.71,94.35,0.32,1.67,139.6,75.24,90.0,0.0
2013-08-01 07:00:00,0.0,0.0,8.65,93.52,0.31,1.67,142.3,75.2,90.0,0.0
2013-08-01 08:00:00,0.0,0.0,8.52,93.57,0.27,1.86,146.0,75.19,90.0,0.0
2013-08-01 09:00:00,0.0,0.0,8.41,93.62,0.2,2.03,149.5,75.18,90.0,0.0
2013-08-01 10:00:00,0.0,0.0,8.37,93.57,0.15,2.01,151.1,75.21,90.0,0.0
2013-08-01 11:00:00,19.3,30.92,8.9,93.68,0.15,2.12,148.5,75.25,85.89,0.6241914618369987
2013-08-01 12:00:00,128.32,230.68,10.82,86.77,0.09,2.78,141.0,75.32,72.08,0.5562684237905323
2013-08-01 13:00:00,266.98,471.7,12.79,78.19,0.25,3.41,138.9,75.37,57.96,0.5659953360186559
2013-08-01 14:00:00,354.7,685.85,14.75,69.2,0.59,4.03,138.8,75.39,44.14,0.5171684770722461
2013-08-01 15:00:00,489.4,850.55,15.97,64.17,0.77,4.5,135.2,75.38,31.07,0.5753923931573688
2013-08-01 16:00:00,554.05,940.65,16.46,62.49,0.92,4.87,132.3,75.34,20.36,0.5890076011268803
2013-08-01 17:00:00,535.3,959.92,16.47,62.73,1.03,5.07,131.2,75.29,17.22,0.5576506375531294
2013-08-01 18:00:00,456.33,910.65,16.25,63.24,1.41,5.1,130.8,75.24,24.73,0.5011036073134574
2013-08-01 19:00:00,390.45,779.53,15.75,64.92,1.67,4.78,130.4,75.18,36.86,0.5008787346221442
2013-08-01 20:00:00,266.23,585.97,15.19,67.13,1.79,4.3,130.8,75.16,50.37,0.45434066590439787
2013-08-01 21:00:00,182.12,355.8,14.3,71.18,1.63,3.69,133.4,75.17,64.37,0.5118605958403597
2013-08-01 22:00:00,66.05,123.45,13.08,78.29,1.28,2.88,138.2,75.2,78.55,0.5350344268934791
2013-08-01 23:00:00,2.47,3.55,11.76,89.15,1.04,1.81,147.2,75.24,89.34,0.695774647887324
2013-08-02 00:00:00,0.0,0.0,11.0,94.46,1.31,1.41,152.5,75.29,90.0,0.0
2013-08-02 01:00:00,0.0,0.0,10.42,94.93,1.37,1.46,145.3,75.35,90.0,0.0
2013-08-02 02:00:00,0.0,0.0,9.92,96.54,0.95,1.54,138.2,75.38,90.0,0.0
2013-08-02 03:00:00,0.0,0.0,9.51,96.93,0.84,1.65,132.8,75.39,90.0,0.0
2013-08-02 04:00:00,0.0,0.0,9.14,97.07,0.81,1.8,132.3,75.36,90.0,0.0
2013-08-02 05:00:00,0.0,0.0,8.8,96.71,0.63,1.97,136.0,75.3,90.0,0.0
2013-08-02 06:00:00,0.0,0.0,8.53,96.05,0.5,2.11,139.2,75.24,90.0,0.0
2013-08-02 07:00:00,0.0,0.0,8.37,95.3,0.44,2.15,140.8,75.2,90.0,0.0
2013-08-02 08:00:00,0.0,0.0,8.32,94.61,0.45,2.31,141.3,75.17,90.0,0.0
2013-08-02 09:00:00,0.0,0.0,8.26,94.33,0.44,2.24,144.5,75.16,90.0,0.0
2013-08-02 10:00:00,0.0,0.0,8.2,94.18,0.38,2.11,145.3,75.17,90.0,0.0
2013-08-02 11:00:00,17.73,25.67,9.11,93.34,0.35,2.33,142.1,75.21,85.87,0.6906895208414491
2013-08-02 12:00:00,119.38,197.25,11.78,84.04,1.3,3.45,136.2,75.26,72.04,0.6052217997465146
2013-08-02 13:00:00,252.9,427.05,13.76,76.75,1.57,4.33,131.9,75.31,57.9,0.5922023182297155
2013-08-02 14:00:00,408.7,645.65,15.1,71.1,4.04,5.0,128.9,75.34,44.05,0.6330054983350112
2013-08-02 15:00:00,501.33,809.67,15.85,67.62,6.79,5.74,125.0,75.33,30.94,0.6191781837044722
