hora,mes,media_clim
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
0,12,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
1,12,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
2,12,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
3,12,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
4,12,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,0.0
5,11,0.0
5,12,0.0
6,1,13.446428571428571
6,2,9.449922958397535
6,3,11.693715846994536
6,4,19.71004636785162
6,5,22.57308743169399
6,6,25.080656185919345
6,7,15.280364372469636
6,8,18.65533522190746
6,9,30.39150813344362
6,10,46.79825783972125
6,11,68.72303921568627
6,12,25.52027027027027
7,1,95.59401993355482
7,2,90.40512820512821
7,3,78.5963153616906
7,4,120.67638845795842
7,5,115.02247191011236
7,6,111.5298353909465
7,7,100.47894914112496
7,8,122.7873417721519
7,9,152.6045996120809
7,10,176.2725706409373
7,11,205.47802028896405
7,12,128.10499001996007
8,1,228.08997343957503
8,2,217.17904713114754
8,3,194.6497584541063
8,4,267.26598386095594
8,5,241.93805309734512
8,6,227.57821038251367
8,7,227.20655080213905
8,8,269.6629037315773
8,9,300.4413236929922
8,10,333.36275862068965
8,11,349.13640524870306
8,12,260.0871651339464
9,1,348.97443559096945
9,2,334.81503184713375
9,3,314.3468347639485
9,4,387.15208655332304
9,5,329.8418002045687
9,6,322.6086065573771
9,7,321.9077181208054
9,8,381.0771643663739
9,9,411.3309332594849
9,10,462.9721649484536
9,11,463.4993894993895
9,12,363.29029671210907
10,1,427.2586321381142
10,2,402.9964249233912
10,3,403.8545163868905
10,4,422.04454067429634
10,5,398.2771739130435
10,6,401.1800204568701
10,7,405.88219722038383
10,8,477.83967305878656
10,9,467.06644518272424
10,10,505.3565757680359
10,11,518.1477411477412
10,12,409.71932638332
11,1,446.55343007915565
11,2,413.98651742559144
11,3,446.0780836421387
11,4,427.8757802746567
11,5,448.8809041835358
11,6,436.5672913117547
11,7,450.44444444444446
11,8,489.3944982807127
11,9,469.5161825726141
11,10,492.5194626248708
11,11,539.0755919854281
11,12,418.28285256410254
12,1,421.3267522211254
12,2,401.6092479674797
12,3,434.2065390749601
12,4,446.14518147684606
12,5,453.1659329495428
12,6,438.5570355191257
12,7,473.579767827529
12,8,490.79869321717484
12,9,474.4580573951435
12,10,463.8272539573297
12,11,499.2113449222324
12,12,388.0492531287848
13,1,400.11100131752306
13,2,415.55396784894106
13,3,409.99303509241895
13,4,429.1576802507837
13,5,406.2374197906113
13,6,411.5204256779952
13,7,448.4289508632138
13,8,444.39962476547845
13,9,447.4584487534626
13,10,449.14138286893706
13,11,449.87241169305724
13,12,370.53099838969405
14,1,357.0586692887578
14,2,350.43481595092027
14,3,356.48924731182797
14,4,385.3591263650546
14,5,369.64059339177345
14,6,364.844262295082
14,7,392.79476127320953
14,8,396.1129536921151
14,9,403.20044296788484
14,10,375.78307059629884
14,11,357.3809234507898
14,12,334.5990357573323
15,1,265.4769079593842
15,2,274.3637525562372
15,3,274.83549083063645
15,4,277.1385767790262
15,5,273.58596134282806
15,6,263.52810902896084
15,7,324.38213811420985
15,8,322.9189189189189
15,9,301.1777592900721
15,10,262.55471438403305
15,11,242.60957866020007
15,12,230.67050874403816
16,1,158.43533638145004
16,2,181.4690946396512
16,3,182.51910051476565
16,4,171.5009416195857
16,5,165.95034013605442
16,6,160.40507196710075
16,7,209.04383925606112
16,8,217.66182965299686
16,9,185.8793103448276
16,10,142.51957417582418
16,11,126.29150287269428
16,12,128.5210484511517
17,1,55.826497395833336
17,2,66.87042761463164
17,3,76.76109307359307
17,4,57.04833647206529
17,5,54.540642076502735
17,6,55.73754723462728
17,7,81.87607687210073
17,8,78.37590437244417
17,9,52.868538076709285
17,10,33.12846865364851
17,11,26.94939393939394
17,12,36.09649122807018
18,1,3.2800910865322055
18,2,4.86962123164133
18,3,12.25875644854738
18,4,4.060369096027526
18,5,2.7334710743801653
18,6,1.9490358126721763
18,7,4.014550264550264
18,8,3.5210163111668757
18,9,1.0280166435506242
18,10,0.19232099619508822
18,11,0.15433596118859916
18,12,0.6261079774375503
19,1,0.0
19,2,0.0
19,3,0.0
19,4,0.0
19,5,0.0
19,6,0.0
19,7,0.0
19,8,0.0
19,9,0.0
19,10,0.0
19,11,0.0
19,12,0.0
20,1,0.0
20,2,0.0
20,3,0.0
20,4,0.0
20,5,0.0
20,6,0.0
20,7,0.0
20,8,0.0
20,9,0.0
20,10,0.0
20,11,0.0
20,12,0.0
21,1,0.0
21,2,0.0
21,3,0.0
21,4,0.0
21,5,0.0
21,6,0.0
21,7,0.0
21,8,0.0
21,9,0.0
21,10,0.0
21,11,0.0
21,12,0.0
22,1,0.0
22,2,0.0
22,3,0.0
22,4,0.0
22,5,0.0
22,6,0.0
22,7,0.0
22,8,0.0
22,9,0.0
22,10,0.0
22,11,0.0
22,12,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
23,12,0.0
