,Original_validos,T1_Interpolacion,T2_Media_Clim,T3_Kalman
N,1105316.0,1330560.0,1330560.0,1330560.0
Min,0.0,0.0,0.0,0.0
Max,1559.0,1559.0,1559.0,1559.0
Media,118.52937621458479,142.80359313879546,142.66149673773845,142.6934018237078
Mediana,0.0,0.0,0.0,0.0
Std,222.50095436230777,221.34970813101563,220.7450906084913,220.78367823140687
CV_%,187.71798305889465,155.00289822251085,154.7334744526743,154.72591963584733
Asimetria,2.409132074791385,1.943528691438117,1.937069874330763,1.9373958045714432
Curtosis,6.093363280250247,4.213789016635753,4.196494920011672,4.197175455250813
P10,0.0,0.0,0.0,0.0
P25,0.0,0.0,0.0,0.0
P75,166.0,255.0,256.0,256.0
P90,401.0,439.0,438.5570355191257,438.5570355191257
P95,598.0,540.0,539.0755919854281,539.0755919854281
P99,1027.0,1003.0,1001.0,1002.0
