,count,mean,std,min,25%,50%,75%,max,cv_%
ALLSKY_SFC_SW_DWN,1330560.0,167.22901551226542,222.87648131256518,0.0,0.0,11.97,340.8858333333333,1024.57,133.28
CLRSKY_SFC_SW_DWN,1330560.0,284.6590926226551,364.59142864840265,0.0,0.0,19.816249999999997,621.9829166666667,1065.97,128.08
T2M,1330560.0,13.28186456830207,2.999578966879134,4.78,10.9275,12.7,15.793333333333331,22.59,22.58
RH2M,1330560.0,85.35959930781023,13.748965928079368,29.05,73.34895833333333,92.0,96.82666666666668,100.0,16.11
PRECTOTCORR,1330560.0,3.2540183982683972,6.257381129027132,0.0,0.1416666666666666,1.0133333333333334,3.525,141.06,192.3
WS10M,1330560.0,2.7515888911435793,1.8527191825649092,0.01,1.3608333333333331,2.283333333333333,3.735,12.87,67.33
WD10M,1330560.0,141.45053755561568,70.39452158217739,0.0,111.1,126.98333333333332,140.01666666666668,359.8,49.77
PS,1330560.0,75.22416455477394,0.12169425127556811,74.77,75.14,75.22749999999999,75.31083333333333,75.63,0.16
SZA,1330560.0,69.6840194805195,25.890677686916018,5.49,48.329166666666666,87.59083333333334,90.0,90.0,37.15
KT,1330560.0,0.31881867168819783,0.3111532641298888,0.0,0.0,0.4002151461208564,0.5971971971971971,0.998799547521758,97.6
